Range,Azimuth,Polar
  0.4414,  0.0000, 66.1500,256 
  0.3984,  0.0000, 66.3750,256 
  0.4141,  0.0000, 66.6000,256 
  0.4180,  0.0000, 66.8250,256 
  0.3906,  0.0000, 67.0500,256 
  0.3984,  0.0000, 67.2750,256 
  0.3906,  0.0000, 67.5000,256 
  0.3984,  0.0000, 67.7250,256 
  0.3984,  0.0000, 67.9500,256 
  0.3750,  0.0000, 68.1750,256 
  0.3555,  0.0000, 68.4000,256 
  0.3555,  0.0000, 68.6250,256 
  0.4063,  0.0000, 68.8500,256 
  0.3789,  0.0000, 69.0750,256 
  0.3789,  0.0000, 69.3000,256 
  0.3828,  0.0000, 69.5250,256 
  0.4141,  0.0000, 69.7500,256 
  0.4141,  0.0000, 69.9750,256 
  0.4609,  0.0000, 70.2000,256 
  0.4570,  0.0000, 70.4250,256 
  0.4414,  0.0000, 70.6500,256 
  0.4609,  0.0000, 70.8750,256 
  0.4609,  0.0000, 71.1000,256 
  0.4805,  0.0000, 71.3250,256 
  0.4531,  0.0000, 71.5500,256 
  0.4844,  0.0000, 71.7750,256 
  0.5234,  0.0000, 72.0000,256 
  0.4883,  0.0000, 72.2250,256 
  0.5117,  0.0000, 72.4500,256 
  0.5078,  0.0000, 72.6750,256 
  0.5078,  0.0000, 72.9000,256 
  0.5000,  0.0000, 73.1250,256 
  0.5000,  0.0000, 73.3500,256 
  0.5000,  0.0000, 73.5750,256 
  0.5820,  0.0000, 73.8000,256 
  0.6602,  0.0000, 74.0250,256 
  0.6250,  0.0000, 74.2500,256 
  0.6367,  0.0000, 74.4750,256 
  0.6914,  0.0000, 74.7000,256 
  0.6914,  0.0000, 74.9250,256 
  0.7031,  0.0000, 75.1500,256 
  0.6797,  0.0000, 75.3750,256 
  0.7109,  0.0000, 75.6000,256 
  0.7227,  0.0000, 75.8250,256 
  0.7031,  0.0000, 76.0500,256 
  0.7227,  0.0000, 76.2750,256 
  0.7227,  0.0000, 76.5000,256 
  0.6758,  0.0000, 76.7250,256 
  0.6875,  0.0000, 76.9500,256 
  0.6875,  0.0000, 77.1750,256 
  0.7109,  0.0000, 77.4000,256 
  0.6953,  0.0000, 77.6250,256 
  0.6758,  0.0000, 77.8500,256 
  0.7227,  0.0000, 78.0750,256 
  0.7539,  0.0000, 78.3000,256 
  0.7109,  0.0000, 78.5250,256 
  0.7422,  0.0000, 78.7500,256 
  0.7422,  0.0000, 78.9750,256 
  0.7500,  0.0000, 79.2000,256 
  0.7500,  0.0000, 79.4250,256 
  0.7500,  0.0000, 79.6500,256 
  0.7461,  0.0000, 79.8750,256 
  0.7500,  0.0000, 80.1000,256 
  0.7500,  0.0000, 80.3250,256 
  0.7461,  0.0000, 80.5500,256 
  0.7461,  0.0000, 80.7750,256 
  0.7461,  0.0000, 81.0000,256 
  0.7266,  0.0000, 81.2250,256 
