x,y,z,i
0.32009742,0.0,0.2982346,128.0
0.32126608,0.0,0.29697534,128.0
0.3195556,0.0,0.29307538,128.0
0.32358858,0.0,0.29444298,128.0
0.3073733,0.0,0.27748957,128.0
0.32589117,0.0,0.29189244,128.0
0.3270349,0.0,0.29061046,128.0
0.31062096,0.0,0.27384925,128.0
0.311694,0.0,0.27262732,128.0
0.3127622,0.0,0.2714012,128.0
0.33155927,0.0,0.28543776,128.0
0.3326776,0.0,0.28413352,128.0
0.33379084,0.0,0.28282493,128.0
0.3348989,0.0,0.28151193,128.0
0.3360018,0.0,0.28019464,128.0
0.31906953,0.0,0.26395726,128.0
0.33819208,0.0,0.27754706,128.0
0.3241572,0.0,0.2639055,128.0
0.322157,0.0,0.2601801,128.0
0.32317623,0.0,0.25891298,128.0
0.32724372,0.0,0.26006836,128.0
0.34357616,0.0,0.2708536,128.0
0.34463713,0.0,0.2695023,128.0
0.3456928,0.0,0.26814684,128.0
0.34674314,0.0,0.26678726,128.0
0.33228675,0.0,0.25359324,128.0
0.33017048,0.0,0.2499325,128.0
0.3311494,0.0,0.24863401,128.0
0.3508909,0.0,0.26130792,128.0
0.336229,0.0,0.24834263,128.0
0.3340555,0.0,0.24471559,128.0
0.33501393,0.0,0.24340189,128.0
0.33596715,0.0,0.2420844,128.0
